lam_peaks,lam_bright_v,lam_edit_v,level_3,0
0.25,0.0,0.0,group,
0.25,0.0,0.0,designs,225
0.25,0.0,0.0,best_err,33.9
0.25,0.0,0.0,mean_err,59.0
0.25,0.0,0.0,id_pct,0.0
0.25,0.0,0.0,bright_pct,0.0
0.25,0.0,0.0,n_ok,0
0.25,0.0,0.0,best_err_ok,
0.25,0.0,0.0,mean_nmut_ok,
0.25,0.5,0.0,group,
0.25,0.5,0.0,designs,12
0.25,0.5,0.0,best_err,51.1
0.25,0.5,0.0,mean_err,60.9
0.25,0.5,0.0,id_pct,0.0
0.25,0.5,0.0,bright_pct,0.0
0.25,0.5,0.0,n_ok,0
0.25,0.5,0.0,best_err_ok,
0.25,0.5,0.0,mean_nmut_ok,
0.25,0.5,0.5,group,
0.25,0.5,0.5,designs,12
0.25,0.5,0.5,best_err,43.3
0.25,0.5,0.5,mean_err,59.1
0.25,0.5,0.5,id_pct,0.0
0.25,0.5,0.5,bright_pct,0.0
0.25,0.5,0.5,n_ok,0
0.25,0.5,0.5,best_err_ok,
0.25,0.5,0.5,mean_nmut_ok,
0.25,0.5,1.0,group,
0.25,0.5,1.0,designs,12
0.25,0.5,1.0,best_err,44.3
0.25,0.5,1.0,mean_err,59.2
0.25,0.5,1.0,id_pct,0.0
0.25,0.5,1.0,bright_pct,0.0
0.25,0.5,1.0,n_ok,0
0.25,0.5,1.0,best_err_ok,
0.25,0.5,1.0,mean_nmut_ok,
0.25,0.5,2.0,group,
0.25,0.5,2.0,designs,12
0.25,0.5,2.0,best_err,54.4
0.25,0.5,2.0,mean_err,57.8
0.25,0.5,2.0,id_pct,41.7
0.25,0.5,2.0,bright_pct,0.0
0.25,0.5,2.0,n_ok,0
0.25,0.5,2.0,best_err_ok,
0.25,0.5,2.0,mean_nmut_ok,
0.25,0.5,4.0,group,
0.25,0.5,4.0,designs,9
0.25,0.5,4.0,best_err,54.8
0.25,0.5,4.0,mean_err,57.5
0.25,0.5,4.0,id_pct,33.3
0.25,0.5,4.0,bright_pct,0.0
0.25,0.5,4.0,n_ok,0
0.25,0.5,4.0,best_err_ok,
0.25,0.5,4.0,mean_nmut_ok,
0.25,1.0,0.0,group,
0.25,1.0,0.0,designs,12
0.25,1.0,0.0,best_err,45.0
0.25,1.0,0.0,mean_err,57.8
0.25,1.0,0.0,id_pct,0.0
0.25,1.0,0.0,bright_pct,0.0
0.25,1.0,0.0,n_ok,0
0.25,1.0,0.0,best_err_ok,
0.25,1.0,0.0,mean_nmut_ok,
0.25,1.0,0.5,group,
0.25,1.0,0.5,designs,12
0.25,1.0,0.5,best_err,46.7
0.25,1.0,0.5,mean_err,62.8
0.25,1.0,0.5,id_pct,0.0
0.25,1.0,0.5,bright_pct,0.0
0.25,1.0,0.5,n_ok,0
0.25,1.0,0.5,best_err_ok,
0.25,1.0,0.5,mean_nmut_ok,
0.25,1.0,1.0,group,
0.25,1.0,1.0,designs,12
0.25,1.0,1.0,best_err,45.4
0.25,1.0,1.0,mean_err,58.7
0.25,1.0,1.0,id_pct,25.0
0.25,1.0,1.0,bright_pct,0.0
0.25,1.0,1.0,n_ok,0
0.25,1.0,1.0,best_err_ok,
0.25,1.0,1.0,mean_nmut_ok,
0.25,1.0,2.0,group,
0.25,1.0,2.0,designs,11
0.25,1.0,2.0,best_err,47.6
0.25,1.0,2.0,mean_err,61.0
0.25,1.0,2.0,id_pct,27.3
0.25,1.0,2.0,bright_pct,0.0
0.25,1.0,2.0,n_ok,0
0.25,1.0,2.0,best_err_ok,
0.25,1.0,2.0,mean_nmut_ok,
0.25,1.0,4.0,group,
0.25,1.0,4.0,designs,10
0.25,1.0,4.0,best_err,55.4
0.25,1.0,4.0,mean_err,61.4
0.25,1.0,4.0,id_pct,30.0
0.25,1.0,4.0,bright_pct,0.0
0.25,1.0,4.0,n_ok,0
0.25,1.0,4.0,best_err_ok,
0.25,1.0,4.0,mean_nmut_ok,
0.25,2.0,0.0,group,
0.25,2.0,0.0,designs,12
0.25,2.0,0.0,best_err,52.0
0.25,2.0,0.0,mean_err,63.4
0.25,2.0,0.0,id_pct,8.3
0.25,2.0,0.0,bright_pct,0.0
0.25,2.0,0.0,n_ok,0
0.25,2.0,0.0,best_err_ok,
0.25,2.0,0.0,mean_nmut_ok,
0.25,2.0,0.5,group,
0.25,2.0,0.5,designs,12
0.25,2.0,0.5,best_err,44.3
0.25,2.0,0.5,mean_err,60.9
0.25,2.0,0.5,id_pct,0.0
0.25,2.0,0.5,bright_pct,0.0
0.25,2.0,0.5,n_ok,0
0.25,2.0,0.5,best_err_ok,
0.25,2.0,0.5,mean_nmut_ok,
0.25,2.0,1.0,group,
0.25,2.0,1.0,designs,12
0.25,2.0,1.0,best_err,57.7
0.25,2.0,1.0,mean_err,65.5
0.25,2.0,1.0,id_pct,58.3
0.25,2.0,1.0,bright_pct,8.3
0.25,2.0,1.0,n_ok,1
0.25,2.0,1.0,best_err_ok,63.1
0.25,2.0,1.0,mean_nmut_ok,8.0
0.25,2.0,1.0,top10_mean_ex,481.3
0.25,2.0,1.0,top10_mean_em,502.6
0.25,2.0,1.0,top10_mean_nmut,8.0
0.25,2.0,2.0,group,
0.25,2.0,2.0,designs,11
0.25,2.0,2.0,best_err,52.0
0.25,2.0,2.0,mean_err,61.2
0.25,2.0,2.0,id_pct,90.9
0.25,2.0,2.0,bright_pct,0.0
0.25,2.0,2.0,n_ok,0
0.25,2.0,2.0,best_err_ok,
0.25,2.0,2.0,mean_nmut_ok,
0.25,2.0,4.0,group,
0.25,2.0,4.0,designs,6
0.25,2.0,4.0,best_err,55.1
0.25,2.0,4.0,mean_err,60.3
0.25,2.0,4.0,id_pct,100.0
0.25,2.0,4.0,bright_pct,0.0
0.25,2.0,4.0,n_ok,0
0.25,2.0,4.0,best_err_ok,
0.25,2.0,4.0,mean_nmut_ok,
0.25,4.0,0.0,group,
0.25,4.0,0.0,designs,11
0.25,4.0,0.0,best_err,55.4
0.25,4.0,0.0,mean_err,84.2
