variant,pair,scaffold_name,round,lam_used,ident_to_scaffold,pred_ex,pred_em,design_pka,design_pka_std,scaffold_pka_true,scaffold_pka_pred,delta_vs_scaffold
default,BFP5-GFPmut2,BFP5,0,20,1.000,380.1,449.4,5.31,0.26,nan,5.31,nan
default,BFP5-GFPmut2,BFP5,1,20,0.874,413.2,485.8,5.05,0.97,nan,5.31,nan
default,BFP5-GFPmut2,BFP5,2,23,0.874,419.4,487.0,5.21,0.82,nan,5.31,nan
default,BFP5-GFPmut2,BFP5,3,26,0.861,427.4,490.5,5.12,0.75,nan,5.31,nan
default,BFP5-GFPmut2,BFP5,4,29,0.861,425.5,492.5,5.09,0.96,nan,5.31,nan
default,BFP5-GFPmut2,BFP5,5,32,0.857,417.3,492.5,5.07,0.9,nan,5.31,nan
default,BFP5-GFPmut2,BFP5,6,35,0.853,417.9,489.8,5.18,0.91,nan,5.31,nan
default,BFP5-GFPmut2,BFP5,7,38,0.857,413.2,489.7,5.01,0.72,nan,5.31,nan
default,BFP5-GFPmut2,BFP5,8,41,0.853,408.5,486.4,5.41,0.72,nan,5.31,nan
default,BFP5-GFPmut2,BFP5,9,44,0.861,398.3,490.4,4.93,0.75,nan,5.31,nan
default,BFP5-GFPmut2,BFP5,10,47,0.857,393.0,484.3,5.29,0.71,nan,5.31,nan
default,CFP-EGFP,CFP,0,20,1.000,442.7,479.7,4.45,0.53,nan,4.45,nan
default,CFP-EGFP,CFP,1,20,0.891,431.6,472.3,4.56,0.7,nan,4.45,nan
default,CFP-EGFP,CFP,2,23,0.870,434.3,474.3,4.52,0.68,nan,4.45,nan
default,CFP-EGFP,CFP,3,26,0.861,434.9,475.5,4.53,0.61,nan,4.45,nan
default,CFP-EGFP,CFP,4,29,0.861,459.2,494.1,6.38,0.61,nan,4.45,nan
default,CFP-EGFP,CFP,5,32,0.861,445.9,485.8,5.43,0.45,nan,4.45,nan
default,CFP-EGFP,CFP,6,35,0.853,454.4,492.0,6.36,0.69,nan,4.45,nan
default,CFP-EGFP,CFP,7,38,0.853,459.4,493.0,6.6,0.75,nan,4.45,nan
default,CFP-EGFP,CFP,8,41,0.857,459.2,492.7,6.6,0.73,nan,4.45,nan
default,CFP-EGFP,CFP,9,44,0.857,459.2,492.7,6.6,0.73,nan,4.45,nan
default,CFP-EGFP,CFP,10,47,0.857,459.2,492.7,6.6,0.73,nan,4.45,nan
default,SBFP2-SCFP3A,SBFP2,0,20,1.000,372.6,442.7,5.36,0.16,5.5,5.36,-0.14
default,SBFP2-SCFP3A,SBFP2,1,20,0.879,411.8,487.0,5.68,0.17,5.5,5.36,0.18
default,SBFP2-SCFP3A,SBFP2,2,23,0.866,430.7,491.3,5.6,0.54,5.5,5.36,0.1
default,SBFP2-SCFP3A,SBFP2,3,26,0.854,426.4,487.2,5.78,0.45,5.5,5.36,0.28
default,SBFP2-SCFP3A,SBFP2,4,29,0.854,435.5,488.1,5.76,0.41,5.5,5.36,0.26
default,SBFP2-SCFP3A,SBFP2,5,32,0.854,420.7,487.5,5.64,0.52,5.5,5.36,0.14
default,SBFP2-SCFP3A,SBFP2,6,35,0.854,419.8,488.0,5.66,0.47,5.5,5.36,0.16
default,SBFP2-SCFP3A,SBFP2,7,38,0.854,413.6,482.2,5.63,0.56,5.5,5.36,0.13
default,SBFP2-SCFP3A,SBFP2,8,41,0.854,434.2,487.0,5.78,0.43,5.5,5.36,0.28
default,SBFP2-SCFP3A,SBFP2,9,44,0.858,425.3,482.6,5.83,0.38,5.5,5.36,0.33
default,SBFP2-SCFP3A,SBFP2,10,47,0.854,425.6,484.3,5.82,0.39,5.5,5.36,0.32
moderate,mCerulean.B-GFPxm16,mCerulean.B,0,20,1.000,425.7,469.1,4.58,0.26,nan,4.58,nan
moderate,mCerulean.B-GFPxm16,mCerulean.B,1,20,0.858,442.1,479.1,4.99,0.56,nan,4.58,nan
moderate,mCerulean.B-GFPxm16,mCerulean.B,2,23,0.854,443.9,484.4,4.99,0.34,nan,4.58,nan
moderate,mCerulean.B-GFPxm16,mCerulean.B,3,26,0.854,466.2,489.4,4.9,0.57,nan,4.58,nan
moderate,mCerulean.B-GFPxm16,mCerulean.B,4,29,0.854,452.1,483.1,4.88,0.64,nan,4.58,nan
moderate,mCerulean.B-GFPxm16,mCerulean.B,5,32,0.845,451.9,485.6,4.7,0.68,nan,4.58,nan
moderate,mCerulean.B-GFPxm16,mCerulean.B,6,35,0.841,442.1,479.7,4.77,0.75,nan,4.58,nan
moderate,mCerulean.B-GFPxm16,mCerulean.B,7,38,0.849,451.7,484.4,4.57,0.59,nan,4.58,nan
moderate,mCerulean.B-GFPxm16,mCerulean.B,8,41,0.845,453.4,485.8,4.67,0.59,nan,4.58,nan
moderate,mCerulean.B-GFPxm16,mCerulean.B,9,44,0.841,453.7,485.8,4.81,0.74,nan,4.58,nan
moderate,mCerulean.B-GFPxm16,mCerulean.B,10,47,0.845,446.6,481.4,4.99,0.84,nan,4.58,nan
moderate,mHoneydew-E2-Red/Green,mHoneydew,0,20,1.000,460.9,558.2,4.13,0.1,4.0,4.13,0.13
moderate,mHoneydew-E2-Red/Green,mHoneydew,1,20,0.889,489.9,536.8,4.96,0.26,4.0,4.13,0.96
moderate,mHoneydew-E2-Red/Green,mHoneydew,2,23,0.880,497.3,527.3,5.04,0.23,4.0,4.13,1.04
moderate,mHoneydew-E2-Red/Green,mHoneydew,3,26,0.871,487.2,514.5,4.95,0.27,4.0,4.13,0.95
moderate,mHoneydew-E2-Red/Green,mHoneydew,4,29,0.862,490.8,517.2,4.99,0.29,4.0,4.13,0.99
moderate,mHoneydew-E2-Red/Green,mHoneydew,5,32,0.871,496.3,518.4,4.92,0.28,4.0,4.13,0.92
moderate,mHoneydew-E2-Red/Green,mHoneydew,6,35,0.876,510.4,525.5,5.0,0.27,4.0,4.13,1.0
moderate,mHoneydew-E2-Red/Green,mHoneydew,7,38,0.876,503.4,521.6,4.98,0.32,4.0,4.13,0.98
moderate,mHoneydew-E2-Red/Green,mHoneydew,8,41,0.853,514.1,526.8,4.88,0.18,4.0,4.13,0.88
moderate,mHoneydew-E2-Red/Green,mHoneydew,9,44,0.853,515.7,527.9,5.02,0.15,4.0,4.13,1.02
moderate,mHoneydew-E2-Red/Green,mHoneydew,10,47,0.840,501.4,517.0,5.06,0.08,4.0,4.13,1.06
temp5,BFP5-GFPmut2,BFP5,0,20,1.000,380.1,449.4,5.31,0.26,nan,5.31,nan
temp5,BFP5-GFPmut2,BFP5,1,20,0.874,417.4,476.0,6.88,0.63,nan,5.31,nan
temp5,BFP5-GFPmut2,BFP5,2,23,0.861,427.7,483.5,6.92,0.58,nan,5.31,nan
temp5,BFP5-GFPmut2,BFP5,3,26,0.866,415.5,479.8,6.86,0.37,nan,5.31,nan
temp5,BFP5-GFPmut2,BFP5,4,29,0.853,421.0,479.2,6.73,0.46,nan,5.31,nan
temp5,BFP5-GFPmut2,BFP5,5,32,0.853,443.3,491.4,6.03,0.64,nan,5.31,nan
temp5,BFP5-GFPmut2,BFP5,6,35,0.840,429.4,491.9,6.91,0.79,nan,5.31,nan
temp5,BFP5-GFPmut2,BFP5,7,38,0.832,426.6,488.3,6.34,1.01,nan,5.31,nan
temp5,BFP5-GFPmut2,BFP5,8,41,0.840,432.4,488.6,6.43,0.9,nan,5.31,nan
temp5,BFP5-GFPmut2,BFP5,9,44,0.845,445.3,490.8,6.2,0.76,nan,5.31,nan
temp5,BFP5-GFPmut2,BFP5,10,47,0.840,447.6,491.9,6.25,0.68,nan,5.31,nan
temp5,CFP-EGFP,CFP,0,20,1.000,442.7,479.7,4.45,0.53,nan,4.45,nan
temp5,CFP-EGFP,CFP,1,20,0.866,444.2,486.5,4.57,0.5,nan,4.45,nan
temp5,CFP-EGFP,CFP,2,23,0.853,461.4,494.7,4.84,0.51,nan,4.45,nan
temp5,CFP-EGFP,CFP,3,26,0.832,454.0,490.5,4.73,0.51,nan,4.45,nan
temp5,CFP-EGFP,CFP,4,29,0.840,454.4,489.9,4.76,0.6,nan,4.45,nan
