index,name,cluster_id,cluster_size
0,10B,0,273
1,11,0,273
2,(3-F)Tyr-EGFP,0,273
3,5B,0,273
4,A44-KR,8,9
5,aacuGFP1,4,17
6,aacuGFP2,4,17
7,AausFP1,23,2
8,AausFP4,34,1
9,AausGFP,0,273
10,aceGFP,0,273
11,aceGFP-G222E-Y220L,0,273
12,aceGFP-h,0,273
13,AcGFP1,0,273
14,Achilles,0,273
15,AdRed,6,13
16,AdRed-C148S,6,13
17,aeurGFP,4,17
18,afCFP,1,113
19,afraGFP,35,1
20,alajGFP1,24,2
21,alajGFP2,24,2
22,alajGFP3,36,1
23,amCyan1,11,7
24,amFP486,11,7
25,amFP495,11,7
26,amFP506,11,7
27,amFP515,11,7
28,amilFP484,4,17
29,amilFP490,4,17
30,amilFP497,4,17
31,amilFP504,4,17
32,amilFP512,4,17
33,amilFP513,4,17
34,amilFP593,6,13
35,amilFP597,6,13
36,amilGFP,4,17
37,anm1GFP1,37,1
38,anm1GFP2,38,1
39,anm2CP,8,9
40,anobCFP1,4,17
41,anobCFP2,4,17
42,anobGFP,4,17
43,apulFP483,4,17
44,AQ14,25,2
45,AQ143,25,2
46,Aquamarine,0,273
47,asCP562,17,5
48,asFP499,39,1
49,AsRed2,17,5
50,asulCP,17,5
51,atenFP,4,17
52,avGFP,0,273
53,avGFP454,0,273
54,avGFP480,0,273
55,AvicFP1,0,273
56,AvicFP2,26,2
57,AvicFP3,26,2
58,AvicFP4,23,2
59,AzaleaB5,21,3
60,AzamiGreen,1,113
61,AzamiRed1.0,1,113
62,Azurite,0,273
63,BDFP2.0,2,100
64,bfloGFPa1,27,2
65,bfloGFPc1,40,1
66,BFP,0,273
67,BFP5,0,273
68,BFP.A5,0,273
69,Blue102,2,100
70,Bluebonnet2,3,83
71,BrUSLEE,0,273
72,bsDronpa,1,113
73,ccalGFP1,13,6
74,ccalGFP3,13,6
75,ccalOFP1,13,6
76,ccalRFP1,13,6
77,ccalYFP1,13,6
78,ccGFP E6,13,6
79,cEGFP,0,273
80,cerFP505,28,2
81,Cerulean,0,273
82,CFP,0,273
83,cFP484,1,113
84,cfSGFP2,0,273
85,cgfmKate2,3,83
86,CGFP,0,273
87,cgfTagRFP,3,83
88,CGP,1,113
89,CheGFP1,41,1
90,CheGFP2,42,1
91,Citrine,0,273
92,Citrine2,0,273
93,cjBlue,43,1
94,cjFP510,44,1
95,Clomeleon,0,273
96,Clover,0,273
97,cpCitrine,0,273
98,cp-mKate,3,83
99,CpYGFP,14,6
100,Crimson,3,83
101,CRISPRed2s,3,83
102,CU17S,5,16
103,CyOFP1,3,83
104,CyPet,0,273
105,CyRFP1,3,83
106,D10,0,273
107,d1EosFP,1,113
108,d2EosFP,1,113
109,DarkVenus,0,273
110,dCyOFP2s,3,83
111,dCyRFP2s,3,83
112,deGFP1,0,273
113,deGFP2,0,273
114,deGFP3,0,273
115,deGFP4,0,273
116,dendFP,1,113
117,Dendra,1,113
118,Dendra2,1,113
119,Dendra2-M159A,1,113
120,Dendra2-T69A,1,113
121,dfGFP,15,6
122,dimer1,2,100
123,dimer2,2,100
124,DimVenus,0,273
125,Diogenes,3,83
126,dis2RFP,2,100
127,dis3GFP,29,2
128,dKeima,9,8
129,dKeima570,9,8
130,dLanYFP,10,8
131,Dreiklang,0,273
132,d-RFP618,3,83
133,Dronpa,1,113
134,Dronpa-2,1,113
135,Dronpa-3,1,113
136,dsFP483,45,1
137,DspR1,2,100
138,DsRed,2,100
139,DsRed2,2,100
140,DsRed-Express,2,100
141,DsRed-Express2,2,100
142,DsRed.M1,2,100
143,DsRed-Max,2,100
144,DsRed-NF,2,100
145,DsRed.T3,2,100
146,DsRed.T4,2,100
147,DstC1,2,100
148,dTFP0.1,1,113
149,dTFP0.2,1,113
150,dTomato,2,100
151,dVFP,1,113
152,E2-Crimson,2,100
153,E2-Orange,2,100
154,E2-Red/Green,2,100
155,EaGFP,1,113
156,EBFP,0,273
157,EBFP1.2,0,273
158,EBFP1.5,0,273
159,EBFP2,0,273
160,ECFP,0,273
161,ECFP H148D,0,273
162,ECGFP,0,273
