name,cohort,pdb,seq_id,scaf_err,best_round,best_err,d_err,ppl0,ppl,id_scaf
td-RFP639-mRubyFT,knownstruct_Stest_Otrain,3E5W,0.817,177.52,2,72.28,-105.24000000000001,17.58,16.66,0.9
sg42-AvicFP1,knownstruct_Stest_Otrain,1GFL,0.787,80.63,3,5.53,-75.1,16.49,15.72,0.904
mRuby-Electra1,knownstruct_Stest_Otrain,3U0L,0.814,151.07,1,80.53,-70.53999999999999,16.89,15.3,0.916
CyPet-GFPxm16,knownstruct_Stest_Otrain,3GEX,0.791,32.94,1,3.56,-29.38,17.07,15.79,0.908
ZsGreen-mPapaya0.7,knownstruct_Stest_Otrain,2OJK,0.793,23.95,3,11.05,-12.899999999999999,17.27,16.85,0.9
amCyan1-stylGFP,knownstruct_Stest_Otrain,2A46,0.769,21.1,2,9.38,-11.72,15.85,15.32,0.895
W1C-AvicFP1,knownstruct_Stest_Otrain,2WSN,0.79,23.52,1,16.77,-6.75,16.44,16.35,0.908
KikG-Dronpa-2,knownstruct_Stest_Otrain,1XSS,0.802,11.86,3,5.39,-6.47,16.01,15.65,0.89
Clomeleon-GFPxm19,knownstruct_Stest_Otrain,7SUN,0.807,29.39,2,23.24,-6.150000000000002,16.49,16.6,0.946
TurboGFP-pdae1GFP,knownstruct_Stest_Otrain,2G6X,0.716,6.61,3,1.03,-5.58,16.26,15.47,0.927
deGFP2-AvicFP1,knownstruct_Stest_Otrain,9NA8,0.794,28.22,3,23.23,-4.989999999999998,16.8,16.75,0.983
htFuncLib_basic.3-ShG24,knownstruct_Stest_Otrain,2G2S,0.794,7.86,3,3.23,-4.630000000000001,15.62,15.24,0.976
Monomeric hyperfolder YFP-OFPxm,knownstruct_Stest_Otrain,7UGS,0.795,5.16,3,2.34,-2.8200000000000003,15.07,15.9,0.925
LanYFP-laGFP,knownstruct_Stest_Otrain,5LTQ,0.825,12.48,2,11.96,-0.5199999999999996,17.02,15.08,0.913
amFP506-stylGFP,knownstruct_Stest_Otrain,2A48,0.773,6.11,2,7.31,1.1999999999999993,15.39,14.42,0.895
mKate-Crimson,knownstruct_Stest_Otrain,4NWS,0.783,7.53,1,9.1,1.5699999999999994,16.61,15.46,0.926
amFP495-stylGFP,knownstruct_Stest_Otrain,2A46,0.773,4.19,3,6.26,2.0699999999999994,15.42,14.47,0.891
pcStar-mc2,knownstruct_Stest_Otrain,5OOZ,0.795,0.95,1,4.06,3.1099999999999994,15.22,15.17,0.916
Dendra2-CGP,knownstruct_Stest_Otrain,2VZX,0.765,4.69,3,7.84,3.1499999999999995,16.09,15.32,0.896
mEos3.1-mc2,knownstruct_Stest_Otrain,5OOZ,0.795,0.15,1,4.67,4.52,15.62,14.87,0.903
