index,slug,name,seq_group,cluster,cluster_size
0,htfunclib_fast2,htFuncLib_fast.2,0,0,165
1,cgp,CGP,1,3,51
2,dendra2,Dendra2,2,3,51
3,dendra2,Dendra2,2,3,51
4,minigfp1,miniGFP1,3,4,9
5,maroon01,Maroon0.1,4,2,56
6,plobrfp,plobRFP,5,17,2
7,mblueberry2,mBlueberry2,6,1,71
8,irfp720,iRFP720,7,5,9
9,mirfp670nano,miRFP670nano,8,18,2
10,electra2,Electra2,9,2,56
11,htfunclib_acid5,htFuncLib_acid.5,10,0,165
12,mirfp670,miRFP670,11,8,6
13,kcy-g4219,KCY-G4219,12,28,1
14,mscarlet3-h,mScarlet3-H,13,1,71
15,super-tagrfp,super-TagRFP,14,2,56
16,mstrawberry,mStrawberry,15,1,71
17,pross-egfp,PROSS-eGFP,16,0,165
18,eygfpuv,eYGFPuv,17,29,1
19,turbogfp,TurboGFP,18,19,2
20,mrhubarb719,mRhubarb719,19,5,9
21,phmscarlet,pHmScarlet,20,1,71
22,dsred-express2,DsRed-Express2,21,1,71
23,cyofp1,CyOFP1,22,2,56
24,katushka,Katushka,23,2,56
25,dsfp483,dsFP483,24,30,1
26,kohinoor,Kohinoor,25,3,51
27,htfunclib_acid4,htFuncLib_acid.4,26,0,165
28,htfunclib_sfbleach1,htFuncLib_sf:bleach.1,27,0,165
29,mifp,mIFP,28,31,1
30,rcamp,RCaMP,29,32,1
31,rsegfp,rsEGFP,30,0,165
32,mlychee,mLychee,31,1,71
33,tagrfp675,TagRFP675,32,2,56
34,lssmorange,LSSmOrange,33,1,71
35,mscarlet-2a,mScarlet-2A,34,1,71
36,mscarlet-i3,mScarlet-I3,35,1,71
37,philov3,phiLOV3,36,4,9
38,ifp14,iFP1.4,37,12,3
39,mgreenlantern,mGreenLantern,38,0,165
40,gfpmut3,GFPmut3,39,0,165
41,amcyan1,amCyan1,40,20,2
42,spoon,SPOON,41,0,165
43,cypet,CyPet,42,0,165
44,htfunclib_basic6,htFuncLib_basic.6,43,0,165
