index,slug,name,cluster,cluster_size,ex_max,em_max,seq_len,surrogate_split,oracle_split
0,htfunclib_fast2,htFuncLib_fast.2,0,165,483.0,508.0,248,train,train
1,cgp,CGP,3,51,503.0,514.0,225,val,train
2,dendra2,Dendra2,3,51,490.0,507.0,230,val,train
3,dendra2,Dendra2,3,51,553.0,573.0,230,val,train
4,minigfp1,miniGFP1,4,9,450.0,499.0,110,test,test
5,maroon01,Maroon0.1,2,56,610.0,650.0,244,train,test
6,plobrfp,plobRFP,17,2,578.0,614.0,233,train,train
7,mblueberry2,mBlueberry2,1,71,402.0,467.0,236,train,train
8,irfp720,iRFP720,5,9,702.0,720.0,316,test,test
9,mirfp670nano,miRFP670nano,18,2,645.0,670.0,147,test,val
10,electra2,Electra2,2,56,403.0,454.0,237,train,test
11,htfunclib_acid5,htFuncLib_acid.5,0,165,485.0,508.0,248,train,train
12,mirfp670,miRFP670,8,6,642.0,670.0,315,test,test
13,kcy-g4219,KCY-G4219,28,1,453.0,486.0,223,test,train
14,mscarlet3-h,mScarlet3-H,1,71,551.0,592.0,229,train,train
15,super-tagrfp,super-TagRFP,2,56,555.0,579.0,244,train,test
16,mstrawberry,mStrawberry,1,71,574.0,596.0,236,train,train
17,pross-egfp,PROSS-eGFP,0,165,488.0,509.0,248,train,train
18,eygfpuv,eYGFPuv,29,1,398.0,512.0,219,train,val
19,turbogfp,TurboGFP,19,2,482.0,502.0,232,train,val
20,mrhubarb719,mRhubarb719,5,9,700.0,719.0,316,test,test
21,phmscarlet,pHmScarlet,1,71,564.0,585.0,232,train,train
22,dsred-express2,DsRed-Express2,1,71,554.0,591.0,225,train,train
23,cyofp1,CyOFP1,2,56,497.0,589.0,234,train,test
24,katushka,Katushka,2,56,588.0,635.0,231,train,test
25,dsfp483,dsFP483,30,1,443.0,483.0,232,test,train
26,kohinoor,Kohinoor,3,51,495.0,514.0,224,val,train
27,htfunclib_acid4,htFuncLib_acid.4,0,165,490.0,511.0,248,train,train
28,htfunclib_sfbleach1,htFuncLib_sf:bleach.1,0,165,488.0,510.0,249,train,train
29,mifp,mIFP,31,1,683.0,704.0,320,test,val
30,rcamp,RCaMP,32,1,575.0,602.0,442,test,val
31,rsegfp,rsEGFP,0,165,493.0,510.0,239,train,train
32,mlychee,mLychee,1,71,568.0,596.0,234,train,train
33,tagrfp675,TagRFP675,2,56,598.0,675.0,233,train,test
34,lssmorange,LSSmOrange,1,71,437.0,572.0,236,train,train
35,mscarlet-2a,mScarlet-2A,1,71,568.0,592.0,232,train,train
36,mscarlet-i3,mScarlet-I3,1,71,568.0,592.0,229,train,train
37,philov3,phiLOV3,4,9,452.0,502.0,110,test,test
38,ifp14,iFP1.4,12,3,684.0,708.0,321,train,val
39,mgreenlantern,mGreenLantern,0,165,503.0,514.0,239,train,train
40,gfpmut3,GFPmut3,0,165,506.0,513.0,238,train,train
41,amcyan1,amCyan1,20,2,453.0,486.0,229,val,train
42,spoon,SPOON,0,165,510.0,527.0,239,train,train
43,cypet,CyPet,0,165,435.0,477.0,239,train,train
