index,name,role
0,aacuGFP1,train
1,aacuGFP2,train
2,AausFP1,val
3,AausGFP,train
4,aceGFP,train
5,AcGFP1,val
6,Achilles,train
7,aeurGFP,train
8,afCFP,train
9,afraGFP,train
10,amFP486,train
11,amilFP490,train
12,amilFP513,test
13,amilFP593,train
14,amilGFP,train
15,anm2CP,test
16,anobCFP1,train
17,anobCFP2,test
18,anobGFP,val
19,AQ143,val
20,Aquamarine,train
21,AsRed2,train
22,asulCP,train
23,avGFP,train
24,AvicFP1,train
25,AvicFP2,train
26,AvicFP4,test
27,AzaleaB5,val
28,AzamiGreen,train
29,AzamiRed1.0,train
30,Azurite,train
31,bfloGFPa1,train
32,bfloGFPc1,train
33,BFP,val
34,BFP.A5,train
35,Blue102,train
36,BrUSLEE,test
37,bsDronpa,train
38,ccalGFP1,val
39,ccalGFP3,val
40,ccalOFP1,train
41,ccalRFP1,val
42,ccalYFP1,train
43,cerFP505,train
44,Cerulean,train
45,cFP484,train
46,cfSGFP2,train
47,cgfmKate2,train
48,CGFP,train
49,cgfTagRFP,test
50,Citrine,train
51,Citrine2,train
52,cjBlue,val
53,Clover,train
54,cpCitrine,val
55,CpYGFP,test
56,Crimson,train
57,CRISPRed2s,train
58,CyOFP1,train
59,CyPet,train
60,CyRFP1,train
61,D10,train
62,d1EosFP,train
63,d2EosFP,test
64,DarkVenus,val
65,dCyOFP2s,train
66,dCyRFP2s,train
67,deGFP1,train
68,deGFP2,test
69,deGFP3,test
70,deGFP4,train
71,dendFP,val
72,Dendra,train
73,Dendra2,train
74,Dendra2-M159A,train
75,Dendra2-T69A,test
76,dimer2,train
77,DimVenus,train
78,Diogenes,train
79,dKeima,train
80,dKeima570,train
81,dLanYFP,train
82,Dreiklang,train
83,Dronpa,val
84,Dronpa-2,val
85,Dronpa-3,test
86,dsFP483,train
87,DsRed,train
88,DsRed2,val
89,DsRed-Express,val
90,DsRed-Express2,test
91,DsRed.M1,test
92,DsRed-Max,train
93,DsRed-NF,train
94,DsRed.T3,test
95,DsRed.T4,train
96,dTFP0.1,train
97,dTFP0.2,train
98,dTomato,test
99,dVFP,test
100,E2-Crimson,train
101,E2-Orange,train
102,E2-Red/Green,train
103,EBFP,val
104,EBFP1.2,train
105,EBFP1.5,train
106,EBFP2,val
