group,idx,name,ppl
ID,1,CGP,15.3720
ID,7,mBlueberry2,15.2912
ID,9,miRFP670nano,4.6553
ID,13,KCY-G4219,14.8153
ID,14,mScarlet3-H,15.8562
ID,28,htFuncLib_sf:bleach.1,14.7539
ID,34,LSSmOrange,15.4660
ID,37,phiLOV3,2.3343
ID,69,TagGFP,17.5441
ID,74,UnaG,5.8108
ID,106,CFP,16.8479
ID,115,mCyRFP1,16.4266
ID,120,mKikGR,15.2291
ID,131,htFuncLib_mid.11,15.8402
ID,168,NowGFP,16.4191
ID,183,tKeima,16.3959
ID,193,htFuncLib_sf:mid.12,14.8588
ID,197,TagRFP658,17.3009
ID,211,mEos3.1,15.6132
ID,222,Skylan-S,15.5668
ID,230,Dendra2-T69A,16.0309
ID,233,mKate S158C,16.7006
ID,236,FusionRed,16.8166
ID,243,StayGold-E138D,16.9042
ID,244,rsCherryRev,15.1365
ID,257,htFuncLib_mid.10,15.7256
ID,259,htFuncLib_sf:bleach.3,14.7475
ID,275,asulCP,15.9440
ID,294,htFuncLib_slow.4,15.9456
ID,311,Lumazine binding protein,7.1860
ID,323,PA-GFP,16.6973
ID,324,mKelly2,16.9249
ID,328,P4-3E,17.0306
ID,340,mEGFP,16.6501
ID,369,mWatermelon,14.8119
ID,370,eqFP611,17.7897
ID,376,rsFolder2,15.2008
ID,382,AausGFP,16.5499
ID,394,KO,16.5983
ID,405,mGinger1,17.4849
OOD,18,eYGFPuv,16.3756
OOD,19,TurboGFP,16.2573
OOD,27,htFuncLib_acid.4,15.7173
OOD,63,htFuncLib_acid.2,15.3856
OOD,71,Dreiklang,15.6552
OOD,83,AausFP4,16.4019
OOD,88,htFuncLib_sf:acid.3,15.3275
OOD,90,CreiLOV,2.9210
OOD,99,KillerRed,18.2983
OOD,111,DarkVenus,15.8846
OOD,136,htFuncLib_basic.2,15.9421
OOD,137,αGFP,16.4078
OOD,142,mScarlet-I3-NCwt,14.8910
OOD,147,HcRed,16.9157
OOD,159,eCGP123,15.3112
OOD,199,htFuncLib_mid.6,15.7492
OOD,212,mEos3.1,15.6132
OOD,229,mMiCy,15.4453
OOD,235,mCherry2,15.3283
OOD,253,Nữ,16.6931
OOD,277,YuzuFP,14.8137
OOD,281,htFuncLib_fast.1,15.6248
OOD,291,GRvT,1.4126
OOD,303,miRFP713,4.6892
OOD,313,oxBFP,16.0280
OOD,331,dfGFP,16.0824
OOD,336,LucY,3.4170
OOD,345,PSmOrange,15.6131
OOD,347,mKate2,16.7589
OOD,360,Padron0.9,16.2088
OOD,365,ZsGreen,17.2772
OOD,367,mLemon,15.6110
OOD,372,iRFP713,4.6130
OOD,393,mEos3.2,15.6853
OOD,399,htFuncLib_mid.8,15.7324
OOD,404,Neptune,17.1191
OOD,411,htFuncLib_sf:mid.9,14.8542
OOD,415,mRFP1.2,14.9765
OOD,447,AzamiGreen,16.5512
OOD,449,mKOκ,15.3941
