campaign,scaffold,n_editable,n_chem_locked,mean_C_chem,mean_C_id,frac_locked
EGFP,EGFP,25,2,0.459,0.402,0.08
avGFP,avGFP,25,2,0.45,0.401,0.08
conventional24,10B,20,1,0.418,0.38,0.05
conventional24,DimVenus,26,2,0.454,0.404,0.077
conventional24,DsRed-Express,26,1,0.424,0.375,0.038
conventional24,E2-Red/Green,26,1,0.427,0.374,0.038
conventional24,EGFP,25,2,0.459,0.402,0.08
conventional24,GFPxm162,25,2,0.453,0.404,0.08
conventional24,GFPxm191uv,25,2,0.453,0.404,0.08
conventional24,PA-GFP,24,2,0.472,0.413,0.083
conventional24,W1C,25,2,0.467,0.407,0.08
conventional24,deGFP3,25,2,0.45,0.401,0.08
conventional24,htFuncLib_sf:mid.9,26,2,0.459,0.402,0.077
conventional24,mCerulean2.D3,26,2,0.466,0.409,0.077
conventional24,mCherry,26,1,0.419,0.382,0.038
conventional24,mEosEM,26,1,0.438,0.383,0.038
conventional24,mEosFP,25,1,0.431,0.382,0.04
conventional24,mKate2,26,1,0.431,0.392,0.038
conventional24,mScarlet-2A,26,1,0.423,0.38,0.038
conventional24,mStrawberry,24,1,0.419,0.401,0.042
conventional24,mTagBFP2,23,1,0.46,0.4,0.043
conventional24,mVenus,26,2,0.454,0.404,0.077
conventional24,moxDendra2,28,1,0.434,0.389,0.036
conventional24,rsFusionRed3,14,1,0.432,0.398,0.071
conventional24,td-RFP639,27,1,0.427,0.385,0.037
conventional24,tdKatushka2,25,1,0.436,0.386,0.04
