scaffold_idx,scaffold_name,scaffold_SS,scaffold_pdb,target_idx,target_name,target_SS,identity,selection
532,mTagBFP2,55,3M24,100,Crimson,29,0.8101,forced
171,EGFP,19,4EUL,712,TagYFP,16,0.7992,forced
546,mVenus,12,4NDJ,712,TagYFP,16,0.7992,forced
389,mCherry,23,6YLM,138,DsRed,25,0.7924,forced
447,mKate2,45,8SXC,100,Crimson,29,0.7869,forced
517,mScarlet-2A,24,7ZCT,353,mApple,24,0.8008,random
721,td-RFP639,42,3E5W,513,mRubyFT,49,0.8170,random
124,DimVenus,17,4NDJ,712,TagYFP,16,0.7992,random
483,moxDendra2,14,2VZX,88,CGP,11,0.7522,random
576,PA-GFP,13,7YDQ,219,GFPxm16,19,0.8117,random
717,tdKatushka2,45,3PJB,194,FR-1,25,0.8060,random
140,DsRed-Express,32,2VAE,470,mNectarine,20,0.8008,random
418,mEosFP,11,2VVH,364,mc1,74,0.7965,random
643,rsFusionRed3,27,6U1A,183,eqFP670,65,0.8034,random
227,GFPxm191uv,12,7LG4,46,Aquamarine,44,0.7992,random
417,mEosEM,8,6YLS,364,mc1,74,0.7974,random
0,10B,12,4ANJ,712,TagYFP,16,0.8033,random
531,mStrawberry,22,2H5P,146,DsRed.T4,31,0.8008,random
114,deGFP3,10,1W7S,55,AvicFP1,22,0.7983,random
154,E2-Red/Green,25,2V4E,441,mHoneydew,75,0.8000,random
221,GFPxm162,11,7LG4,46,Aquamarine,44,0.7992,random
381,mCerulean2.D3,38,4EN1,678,ShG24,20,0.7908,random
292,htFuncLib_sf:mid.9,14,5MFC,607,PS-CFP,66,0.8193,random
743,W1C,60,2WSN,227,GFPxm191uv,12,0.8067,random
