index,slug,name,surrogate_role,oracle_role
0,10b,10B,train,train
1,11,11,train,test
2,3-ftyr-egfp,(3-F)Tyr-EGFP,test,train
3,5b,5B,train,train
4,a44-kr,A44-KR,train,test
5,aacugfp1,aacuGFP1,val,train
6,aacugfp2,aacuGFP2,train,test
7,aausfp1,AausFP1,train,train
8,aausfp4,AausFP4,test,train
9,aausgfp,AausGFP,train,val
10,acegfp,aceGFP,train,train
11,acegfp-g222e-y220l,aceGFP-G222E-Y220L,train,train
12,acegfp-h,aceGFP-h,val,train
13,acgfp1,AcGFP1,test,train
14,achilles,Achilles,train,val
15,adred,AdRed,train,test
16,adred-c148s,AdRed-C148S,train,train
17,aeurgfp,aeurGFP,train,test
18,afcfp,afCFP,train,train
19,afragfp,afraGFP,test,train
20,alajgfp1,alajGFP1,train,train
21,alajgfp2,alajGFP2,train,val
22,alajgfp3,alajGFP3,train,train
23,amcyan1,amCyan1,test,train
24,amfp486,amFP486,train,val
25,amfp495,amFP495,test,train
26,amfp506,amFP506,test,train
27,amfp515,amFP515,train,val
28,amilfp484,amilFP484,val,train
29,amilfp490,amilFP490,train,train
30,amilfp497,amilFP497,train,test
31,amilfp504,amilFP504,train,test
32,amilfp512,amilFP512,train,val
33,amilfp513,amilFP513,train,val
34,amilfp593,amilFP593,train,train
35,amilfp597,amilFP597,train,val
36,amilgfp,amilGFP,test,train
37,anm1gfp1,anm1GFP1,train,test
38,anm1gfp2,anm1GFP2,train,test
39,anm2cp,anm2CP,train,val
40,anobcfp1,anobCFP1,train,train
41,anobcfp2,anobCFP2,val,train
42,anobgfp,anobGFP,train,test
43,apulfp483,apulFP483,train,train
44,aq14,AQ14,train,train
45,aq143,AQ143,val,train
46,aquamarine,Aquamarine,test,train
47,ascp562,asCP562,train,val
48,asfp499,asFP499,train,train
49,asred2,AsRed2,test,train
50,asulcp,asulCP,train,test
51,atenfp,atenFP,train,val
52,avgfp,avGFP,train,train
53,avgfp454,avGFP454,test,train
54,avgfp480,avGFP480,test,train
55,avicfp1,AvicFP1,train,train
56,avicfp2,AvicFP2,test,train
57,avicfp3,AvicFP3,train,train
58,avicfp4,AvicFP4,val,train
59,azaleab5,AzaleaB5,train,train
60,azamigreen,AzamiGreen,train,train
61,azamired10,AzamiRed1.0,train,train
62,azurite,Azurite,train,val
63,bdfp16,BDFP1.6,val,train
64,bdfp18,BDFP1.8,val,train
65,bdfp20,BDFP2.0,train,val
66,bflogfpa1,bfloGFPa1,train,test
67,bflogfpc1,bfloGFPc1,train,train
68,bfp,BFP,val,train
69,bfp5,BFP5,test,train
70,bfpa5,BFP.A5,test,train
71,blue102,Blue102,train,train
72,bluebonnet2,Bluebonnet2,train,train
73,bp02,BP02,train,test
74,br1,BR1,test,train
75,bruslee,BrUSLEE,train,val
76,bsdronpa,bsDronpa,train,test
77,cagfbfp,CagFbFP,val,train
78,car-geco1,CAR-GECO1,train,val
79,car-geco1,CAR-GECO1,train,test
80,ccalgfp1,ccalGFP1,train,val
81,ccalgfp3,ccalGFP3,test,train
82,ccalofp1,ccalOFP1,train,train
83,ccalrfp1,ccalRFP1,train,test
84,ccalyfp1,ccalYFP1,test,train
85,ccgfp-e6,ccGFP E6,train,train
86,cegfp,cEGFP,train,train
87,cerfp505,cerFP505,train,train
88,cerulean,Cerulean,train,train
89,cfp,CFP,test,train
90,cfp484,cFP484,train,test
91,cfsgfp2,cfSGFP2,train,train
92,cgfmkate2,cgfmKate2,train,train
93,cgfp,CGFP,val,train
94,cgftagrfp,cgfTagRFP,test,train
95,cgp,CGP,train,train
96,channelrhodopsin2,Channelrhodopsin2,train,train
97,chegfp1,CheGFP1,train,train
98,chegfp2,CheGFP2,test,train
99,chegfp4,CheGFP4,val,train
100,citrine,Citrine,test,train
101,citrine2,Citrine2,train,train
102,cjblue,cjBlue,train,train
103,cjfp510,cjFP510,val,train
104,clomeleon,Clomeleon,train,train
105,clover,Clover,test,train
106,cpcitrine,cpCitrine,test,train
107,cp-mkate,cp-mKate,train,val
108,cpygfp,CpYGFP,train,test
109,creilov,CreiLOV,val,train
110,crimson,Crimson,train,train
111,crispred2s,CRISPRed2s,val,train
112,cu17s,CU17S,test,train
113,cyofp1,CyOFP1,train,test
114,cypet,CyPet,train,train
115,cyrfp1,CyRFP1,train,train
116,d10,D10,train,train
